p450scc 3beta-hsd abundance increase;block;hpte;0;16737795
p450arom mrna abundance increase;block;hpte;0;16737795
ghrelin;mediate;starvation response;0;12464231
hormone antagonist treatment;suppress;lh concentration;2;20797347
acyline treatment;suppress;lh concentration;2;20797347
contrast;inhibit;ll group;0;21592238
clamp glucose metabolic clearance rate;increase;hypo-osmolality;0;14681716
contrast;increase;corticosterone injection level;0;17064351
gonadotrope cell synthesis;regulate;activin tgf ligand endocrine factor;2;24601881
gonadotrope cell synthesis;regulate;inhibin tgf ligand endocrine factor;2;24601881
estrogen;inhibit;food intake;0;21358146
hypothalamus nucleus npy microinjection;increase;quotient;0;10757510
hypothalamus pvn y microinjection;increase;quotient;0;10757510
hypothalamus pvn npy microinjection;increase;quotient;0;10757510
contrast;suppress;feed;0;10757510
pvn avp;regulate;innervation endocrine gland;0;12067600
pvn ot;regulate;innervation endocrine gland;0;12067600
pvn avp;regulate;tissue;0;12067600
pvn ot;regulate;tissue;0;12067600
fst exposure;increase;plasma acth;2;12652345
bu224 administration;increase;acth;2;12652345
vasopressin;secrete;pituitary gland;2;23121213
vasopressin;regulate;urine secretion;0;23121213
vasopressin;regulate;arteriole tonus;0;23121213
vasopressin;increase;blood pressure;0;23121213
vasopressin;decrease;organ donor catecholamine need;0;23121213
datum;mediate;steroid sex hormone effect;0;11672449
gnih;inhibit;system activity;0;21466656
fsh;increase;akt target mouse double-minute 2 phosphorylation;2;188456361258887512606543126064631283229012869586127612171820443912759245129336731295291510935551109529321096505910998351113067061141599211420129115951841149854211818496119603681196069413130303145758641455971814729330150240781476197715095341149829271498838715056665151697781721381717502379178485741785021418268343153583001527202515337760627177661428193034888251022431534788089148753991885244138754745875661692784219415397941539894729449892015103532511035801414907713155277981532816315690031156134821608106516170383165060551673550016880823170819711671512810537120105518171068344010803590119232801219340112172553121869811224228112149254123763451239943012393646124883271258675512493768
fsh;increase;mdm2 phosphorylation;2;188456361258887512606543126064631283229012869586127612171820443912759245129336731295291510935551109529321096505910998351113067061141599211420129115951841149854211818496119603681196069413130303145758641455971814729330150240781476197715095341149829271498838715056665151697781721381717502379178485741785021418268343153583001527202515337760627177661428193034888251022431534788089148753991885244138754745875661692784219415397941539894729449892015103532511035801414907713155277981532816315690031156134821608106516170383165060551673550016880823170819711671512810537120105518171068344010803590119232801219340112172553121869811224228112149254123763451239943012393646124883271258675512493768
melatonin;suppress;rat system vp release;0;20814074
mch-r2;mediate;mch effect;0;17324419
arginine vasopressin;secrete;pituitary gland;2;12524471
avp;secrete;pituitary gland;2;12524471
arginine vasopressin;secrete;pituitary gland;2;12524471
avp;secrete;pituitary gland;2;12524471
light melatonin level acute inhibition;suppress;contraction;0;25015556
interaction;mediate;gfap;2;199365681568093915745952186558801882396119037321182821601057502011012836115497211219522412372001124924271260949912859353128996821455287414617676147242601513521915134863151537534577217123694870397667199961733880763653286462460638494624127002422592158936411578943040847951592262215961240160149241599570116134141162164211650392016322347165545011681614416832906166449071684276317127302170316681731428617241122176631381767895717628000176930271768401417714952173932981807769418082334183675041829340418439402184627961862606518655876188033081921188119267953379509335675803109879281977024438642451734340445930445183044521318019325651532202017161744384693137891864770847477762337615871884710288096728839353895163689773829354336953012897951471535618715610159
interaction;mediate;gfap;2;199365681568093915745952186558801882396119037321182821601057502011012836115497211219522412372001124924271260949912859353128996821455287414617676147242601513521915134863151537534577217123694870397667199961733880763653286462460638494624127002422592158936411578943040847951592262215961240160149241599570116134141162164211650392016322347165545011681614416832906166449071684276317127302170316681731428617241122176631381767895717628000176930271768401417714952173932981807769418082334183675041829340418439402184627961862606518655876188033081921188119267953379509335675803109879281977024438642451734340445930445183044521318019325651532202017161744384693137891864770847477762337615871884710288096728839353895163689773829354336953012897951471535618715610159
sevoflurane period odour misinterpretation;mediate;melatonin decrease level;2;20962652
